Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
1.815246833e0,5.428367718e-3,-1.890168191e-2,-3.794609070e-2,4.273928584e-2
1.825178833e0,1.718170401e-2,-1.897377625e-2,-2.013371766e-2,3.256657373e-2
1.835110833e0,4.407925804e-3,-8.100102162e-3,-3.779757142e-2,3.890627032e-2
1.845042833e0,1.095503718e-2,-1.587169130e-2,-4.333429992e-2,4.743189828e-2
1.854974833e0,-2.065945772e-3,-1.603280037e-2,-4.303433776e-2,4.597034964e-2
1.864906833e0,2.555954549e-2,-1.325964871e-2,-2.746788025e-2,3.979438522e-2
1.874838833e0,1.182211531e-2,-2.290428375e-2,-1.923383117e-2,3.216067297e-2
1.884770833e0,-4.116334752e-3,-8.724922836e-3,-2.163002014e-2,2.368388189e-2
1.894702833e0,2.041630719e-2,-1.524748276e-2,-2.896535218e-2,3.857852974e-2
1.904635833e0,9.653689088e-3,-2.561780294e-2,-1.010398865e-2,2.918143463e-2
1.914567833e0,1.305389524e-2,-3.510810804e-2,-3.540079772e-2,5.153833438e-2
1.924499833e0,2.612792226e-2,-3.480119317e-2,-2.971087217e-2,5.269276319e-2
1.934431833e0,2.346151198e-2,-1.682844196e-2,-2.028106749e-2,3.528400065e-2
1.944363833e0,1.770783236e-2,-1.307428284e-2,-2.671768248e-2,3.461702985e-2
1.954295833e0,3.427008555e-3,-1.340790303e-2,-1.130149841e-2,1.786729184e-2
1.964227833e0,2.285817069e-3,-1.709908582e-3,-1.669204652e-2,1.693437817e-2
1.974159833e0,-1.898898130e-3,-1.977496357e-2,-2.447644472e-2,3.152382186e-2
1.984091833e0,3.071415388e-2,-1.087696315e-2,-1.874617338e-3,3.263712252e-2
1.994024833e0,1.441365610e-2,-2.402408036e-2,-8.012439609e-3,2.913947680e-2
2.003956833e0,1.206267342e-2,-1.880922281e-2,-2.507812321e-2,3.358879600e-2
2.013888833e0,1.540084883e-2,-2.781269238e-2,-2.597567081e-2,4.105444527e-2
2.023820833e0,1.755518692e-2,-2.002176175e-2,-3.076570988e-2,4.068887361e-2
2.033752833e0,-3.430527162e-3,-3.381833103e-2,-1.265454412e-2,3.627100105e-2
2.043684833e0,1.271018859e-2,-1.142193278e-2,-2.657676458e-2,3.159642161e-2
2.053616833e0,1.089934245e-2,-1.762067573e-2,-2.433260322e-2,3.195871491e-2
2.063548833e0,1.168297213e-2,-2.162972778e-2,-3.091715276e-2,3.949945945e-2
2.073480833e0,9.953658103e-3,-3.017996505e-2,-1.280423284e-2,3.426155248e-2
2.083413833e0,1.844394085e-2,-3.129191360e-2,-4.349159002e-2,5.666463813e-2
2.093345833e0,2.029500031e-2,-2.626560135e-2,-2.567980170e-2,4.196690443e-2
2.103277833e0,2.146024761e-2,-1.944597546e-2,-3.151824653e-2,4.280289772e-2
2.113209833e0,9.641992373e-3,-1.615828710e-2,-2.643058419e-2,3.244432215e-2
2.123141833e0,1.718911239e-2,-4.884288870e-3,-3.361622751e-2,3.807062666e-2
