Time_s,Bx_nT,By_nT,Bz_nT,zAut_m
36032.6,534.525062,247.215933,-11.7720923,26.3
36032.7,533.395101,239.090435,-8.95222191,26.3
36032.8,532.002297,216.803029,-5.23073638,26.3
36032.9,531.820913,197.616208,11.5115641,26.3
36033.0,531.006269,192.923873,9.497915,26.3
36033.1,534.286541,208.050811,4.98818913,26.3
36033.2,531.138835,205.711833,12.3240191,26.3
36033.3,526.135161,162.485599,17.5566784,26.3
36033.4,520.821599,157.951847,18.7746023,26.3
36033.5,524.024973,136.204197,29.8450804,26.3
36033.6,522.938328,111.208108,40.1099903,26.3
36033.7,522.41452,67.4149686,48.3844589,26.3
36033.8,524.759898,36.8930335,66.9544894,26.3
36033.9,525.613214,48.7332448,60.4657057,26.3
36034.0,524.53025,45.1250834,68.8670583,26.3
36034.1,525.653455,41.0978026,68.3015361,26.3
36034.2,524.138854,22.3104677,74.6700178,26.3
36034.3,523.799146,8.98009829,76.5363855,26.3
36034.4,529.357644,18.8457538,69.9350118,26.3
36034.5,532.130382,33.0564956,62.1055886,26.3
36034.6,526.656595,46.1268633,49.8612569,26.3
36034.7,523.965384,58.3962341,45.2703272,26.3
36034.8,526.562835,60.6663208,41.7631995,26.3
36034.9,498.223799,50.5591164,49.7984142,26.3
36035.0,499.537389,56.7321498,69.0882264,26.3
36035.1,514.543751,53.8961817,59.4203149,26.3
36035.2,511.745592,56.7788558,62.5399365,26.3
36035.3,522.034919,56.5437086,69.2199488,26.3
36035.4,524.84961,52.5024887,67.5751075,26.3
36035.5,526.217069,51.0411217,64.1659638,26.3
36035.6,522.94496,41.2314245,70.6218494,26.3
36035.7,531.80807,42.6185874,62.7956168,26.3
36035.8,530.261528,42.7781971,76.1017289,26.3
36035.9,522.360503,37.3056516,82.4056867,26.3
36036.0,523.062794,48.5707326,78.9612756,26.3
36036.1,521.897738,54.5202973,70.3929798,26.3
36036.2,517.226644,71.3824817,69.5886853,26.3
36036.3,521.180199,82.062958,59.2074808,26.3
36036.4,525.746371,86.5067805,53.9259354,26.3
36036.5,523.501023,68.4731049,63.7459872,26.3
36036.6,519.068101,49.4016845,68.9422827,26.3
36036.7,523.260149,8.68505728,80.3103786,26.3
36036.8,527.821475,-0.119656731,82.8067891,26.3
36036.9,527.118044,-12.9261518,92.2664947,26.3
36037.0,526.153101,3.74573302,85.0931319,26.3
36037.1,524.830987,-4.41053735,95.0118037,26.3
36037.2,521.094409,-8.97137224,96.7477439,26.3
36037.3,510.162998,-44.4618637,109.979432,26.3
