Time_s,Bx_nT,By_nT,Bz_nT,zAut_m,zTrue_m
30.1,5.43586709,12.9188582,-42.7123544,15.2,15.2
30.2,18.5381122,5.06354719,-36.8883365,15.2,15.2
30.3,24.3231004,7.68416944,-43.3544727,15.2,15.2
30.4,15.2658314,-19.8505149,-14.9999134,15.2,15.2
30.5,3.32378402,-37.1130679,7.72366946,15.2,15.2
30.6,-15.6196807,-38.4989318,10.965423,15.2,15.2
30.7,-17.0194748,-34.7667263,5.12196533,15.2,15.2
30.8,-19.2480091,-32.6926033,3.80541753,15.2,15.2
30.9,-14.7127054,-16.3829496,-11.1280837,15.2,15.2
31.0,-22.1204674,-11.9374187,-11.9879289,15.2,15.2
31.1,-20.854417,3.41938974,-20.8115521,15.2,15.2
31.2,-29.0701744,3.34896727,-20.1948244,15.2,15.2
31.3,-27.3847406,7.61417768,-16.3246222,15.2,15.2
31.4,-25.0259171,6.60749227,-14.5819537,15.2,15.2
31.5,-23.4463585,2.50048254,-23.8655298,15.2,15.2
31.6,-22.3876833,-12.961413,-21.426419,15.2,15.2
31.7,-25.6944588,-23.6298429,-8.16679492,15.2,15.2
31.8,-27.7451315,-32.5987359,-5.08350723,15.2,15.2
31.9,-24.7797905,-34.470254,-7.21176629,15.2,15.2
32.0,-11.0294805,-26.9046703,-11.4526619,15.2,15.2
32.1,-3.00784324,-31.9641828,-15.3289733,15.2,15.2
32.2,-1.43506585,-10.5688952,-18.191044,15.2,15.2
32.3,1.68561698,11.2202663,-18.0333079,15.2,15.2
32.4,-6.15122384,37.0576456,-34.6686957,15.2,15.2
32.5,-14.4512071,42.1440588,-36.9684385,15.2,15.2
32.6,-15.1332869,39.7141365,-28.0793273,15.2,15.2
32.7,-17.4426596,50.2433157,-39.3859727,15.2,15.2
32.8,-15.35745,67.191607,-56.1594558,15.2,15.2
32.9,-18.0611329,53.5759386,-39.9400233,15.2,15.2
33.0,-13.8618186,58.9566122,-42.3336061,15.2,15.2
33.1,-9.40918348,44.6638487,-37.1867377,15.2,15.2
33.2,-11.4718143,42.4181344,-31.7251366,15.2,15.2
33.3,-15.4628121,54.6262446,-37.5572584,15.2,15.2
33.4,-23.2978811,53.256173,-37.4299686,15.2,15.2
33.5,-13.2549921,49.9992504,-39.7836277,15.2,15.2
33.6,-13.5571026,50.9640854,-45.0352034,15.2,15.2
33.7,-5.71813669,46.138822,-41.3689652,15.2,15.2
33.8,-13.1374505,31.445179,-27.5087787,15.2,15.2
33.9,-18.7898258,18.3070629,-29.8136103,15.2,15.2
34.0,-28.5766383,-0.0276819836,-20.734599,15.2,15.2
34.1,-29.942902,-4.75816246,-15.6379583,15.2,15.2
34.2,-34.8857793,-13.9128732,-14.6300186,15.2,15.2
34.3,-37.6673822,-8.47866595,-12.6824484,15.2,15.2
34.4,-39.1268935,-0.924515463,-14.2745209,15.2,15.2
34.5,-34.1405634,31.5638039,-28.1696976,15.2,15.2
34.6,-32.6557377,53.8287556,-44.7830413,15.2,15.2
34.7,-35.0843651,55.8524534,-35.4269889,15.2,15.2
34.8,-42.4200199,42.1984713,-33.1771561,15.2,15.2
34.9,-45.6859542,24.3633943,-20.3951539,15.2,15.2
35.0,-40.0651018,20.7337418,-10.9912361,15.2,15.2
35.1,-38.5395867,14.5222716,-10.2209818,15.2,15.2
35.2,-41.3035338,21.3481441,-15.9370938,15.2,15.2
35.3,-36.578933,41.152387,-20.1494124,15.2,15.2
35.4,-49.0951019,41.2086443,-20.3617978,15.2,15.2
35.5,-53.0295083,32.7287854,-12.1178483,15.2,15.2
35.6,-53.2658827,17.8154243,-12.3425328,15.2,15.2
35.7,-59.2483363,18.6807605,-17.6372441,15.2,15.2
35.8,-56.5787214,21.515025,-14.2346946,15.2,15.2
35.9,-41.8800786,32.9559727,-23.620757,15.2,15.2
36.0,-33.1828692,56.3595007,-42.2966829,15.2,15.2
36.1,-35.4313402,62.535091,-48.3761224,15.2,15.2
